date,tag,team,kind,market,open_ml,close_ml,clv_pts,won,profit_1u,slip_id,slip_odds,slip_result,joint_prob,correlation,line,edge_pct,home,away,pick,pitcher,home_pitcher,away_pitcher,odds,model_prob,edge,qualifies,timestamp,kelly_stake_pct,abbr_home,abbr_away,abbr_pick,c_team_edge,c_pitcher_fip_edge,c_pitcher_era_edge,c_pitcher_whip_edge,c_pitcher_k9_edge,c_offense_edge,c_bullpen_edge,c_season_form_edge,c_h2h_edge,c_weather_edge,c_rest_edge,c_lineup_edge,c_injury_edge,c_fatigue_edge,slip_leg_num,slip_leg_count
2026-06-18,me,Philadelphia Phillies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Boston Red Sox,team,,,,,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Atlanta Braves,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,LA Dodgers,team,Moneyline,-157.0,,,1,0.637,SGPx 16 Pick Parlay (+452960) #1,452960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,SD Padres,team,Moneyline,105.0,,,1,1.05,SGPx 16 Pick Parlay (+452960) #1,452960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Boston Red Sox,team,Moneyline,-131.0,,,0,-1.0,SGPx 16 Pick Parlay (+452960) #1,452960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,New York Yankees,team,Run Line -1.5,113.0,,,1,1.13,SGPx 16 Pick Parlay (+452960) #1,452960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,CHI Cubs,team,Moneyline,-194.0,,,1,0.515,SGPx 16 Pick Parlay (+452960) #1,452960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Los Angeles Angels,team,Moneyline,141.0,,,0,-1.0,SGPx 16 Pick Parlay (+452960) #1,452960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,MIA Marlins,team,Moneyline,,,,1,,2 Pick SGP (+212) #2,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Sandy Alcantara,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (+212) #2,212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Total,total,Over 10.5,,,,0,,2 Pick SGP (+174) #3,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
